,thresh,tested,replicated,proportion,missed
MCV,1.46455770357e-05,3414.0,2008.0,0.588166373755,7830.0
PLC,1.25062531266e-05,3998.0,1792.0,0.448224112056,6073.0
Height,2.79688985848e-06,17877.0,10406.0,0.582088717346,37360.0
BMI,2.21827861579e-05,2254.0,1478.0,0.655723158829,2762.0
DBP,5.37056928034e-05,931.0,528.0,0.567132116004,719.0
SBP,8.16993464052e-05,612.0,352.0,0.575163398693,1315.0
WBC,1.86567164179e-05,2680.0,1192.0,0.444776119403,17800.0
RBC,1.7135023989e-05,2918.0,1674.0,0.573680603153,3514.0
Hemoglobin,3.48189415042e-05,1436.0,580.0,0.403899721448,368.0
Hematocrit,2.99401197605e-05,1670.0,1068.0,0.639520958084,524.0
MCH,1.55569383945e-05,3214.0,1904.0,0.592408214063,7851.0
MCHC,4.58295142071e-05,1091.0,722.0,0.661778185151,260507.0
Lymphocyte,8.02568218299e-05,623.0,327.0,0.524879614767,536.0
Monocyte,3.52609308886e-05,1418.0,896.0,0.631875881523,1568.0
Neutrophil,5.06585612969e-05,987.0,527.0,0.533941236069,1550.0
Eosinophil,4.00320256205e-05,1249.0,802.0,0.642113690953,2143.0
Basophil,0.000961538461538,52.0,49.0,0.942307692308,2017.0
Urate,2.56278831369e-05,1951.0,1414.0,0.72475653511,6530.0
Triglyceride,3.98724082935e-05,1254.0,928.0,0.740031897927,3902.0
Cholesterol,1.95541650372e-05,2557.0,1742.0,0.681267109894,2847.0
LDL,3.16455696203e-05,1580.0,1115.0,0.705696202532,1735.0
HDL,2.85551113649e-05,1751.0,1089.0,0.621930325528,4737.0
HBA1C,6.31313131313e-05,792.0,416.0,0.525252525253,899.0
EGFR,1.99521149242e-05,2506.0,1315.0,0.524740622506,2227.0
CRP,7.55287009063e-05,662.0,523.0,0.79003021148,1197.0
